time_iso8601,forks_cumulative
2018-04-27 00:00:00+00:00,1
2018-09-24 00:00:00+00:00,2
2019-03-21 00:00:00+00:00,3
2021-01-29 00:00:00+00:00,4
2023-01-20 00:00:00+00:00,5
2023-06-15 00:00:00+00:00,6
2023-09-12 00:00:00+00:00,7
