time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-01 00:00:00+00:00,6,4,7.0,1.0
2025-05-02 00:00:00+00:00,7,4,,
2025-05-03 00:00:00+00:00,4,3,1.0,1.0
2025-05-04 00:00:00+00:00,6,3,3.0,3.0
2025-05-05 00:00:00+00:00,3,2,14.0,2.0
2025-05-06 00:00:00+00:00,5,2,1.0,1.0
2025-05-07 00:00:00+00:00,5,2,4.0,2.0
2025-05-08 00:00:00+00:00,4,4,3.0,2.0
2025-05-09 00:00:00+00:00,7,3,3.0,3.0
2025-05-10 00:00:00+00:00,4,2,1.0,1.0
2025-05-11 00:00:00+00:00,8,4,,
2025-05-12 00:00:00+00:00,3,2,3.0,2.0
2025-05-13 00:00:00+00:00,9,5,8.0,2.0
2025-05-14 00:00:00+00:00,5,4,3.0,3.0
