time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-27 00:00:00+00:00,27,9,4,4
2026-04-28 00:00:00+00:00,12,3,4,2
2026-04-29 00:00:00+00:00,34,10,3,3
2026-04-30 00:00:00+00:00,35,10,3,3
2026-05-01 00:00:00+00:00,19,4,6,6
2026-05-02 00:00:00+00:00,40,11,2,2
2026-05-03 00:00:00+00:00,37,11,4,4
2026-05-04 00:00:00+00:00,16,6,7,1
2026-05-05 00:00:00+00:00,52,12,0,0
2026-05-06 00:00:00+00:00,14,5,1,1
2026-05-07 00:00:00+00:00,35,10,0,0
2026-05-08 00:00:00+00:00,13,8,0,0
2026-05-09 00:00:00+00:00,25,8,0,0
2026-05-10 00:00:00+00:00,12,3,0,0
