time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-22 00:00:00+00:00,6,6,2.0,2.0
2025-09-23 00:00:00+00:00,8,3,,
2025-09-24 00:00:00+00:00,7,2,,
2025-09-25 00:00:00+00:00,9,8,2.0,2.0
2025-09-26 00:00:00+00:00,1,1,,
2025-09-27 00:00:00+00:00,3,2,,
2025-09-28 00:00:00+00:00,3,2,,
2025-09-29 00:00:00+00:00,3,2,16.0,3.0
2025-09-30 00:00:00+00:00,8,7,1.0,1.0
2025-10-01 00:00:00+00:00,10,8,2.0,2.0
2025-10-02 00:00:00+00:00,1,1,7.0,2.0
2025-10-03 00:00:00+00:00,8,7,2.0,2.0
2025-10-04 00:00:00+00:00,6,5,1.0,1.0
2025-10-05 00:00:00+00:00,2,1,,
